id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21148462,Classic One bedroom in Downtown,68066405,Stephanie,,Montcalm,46.80189,-71.22489,Entire home/apt,40,32,1,2018-04-26,0.03,11,168
21175431,Condo neuf à Québec / Lebourgneuf,127085778,Max,,Neufchâtel-Est/Lebourgneuf,46.84344,-71.31211,Entire home/apt,80,1,105,2020-02-09,2.64,2,71
21223838,Location de vacance 2,44697594,Raoufou,,Vieux-Moulin,46.8485,-71.22665,Private room,65,1,51,2021-02-06,1.26,5,82
21228600,Large home for 16 guests in the heart of Quebec,122580956,Philippe,,Sillery,46.78505,-71.25808,Entire home/apt,270,1,170,2020-09-20,4.27,1,258
21238668,Location de vacance 1,44697594,Raoufou,,Vieux-Moulin,46.84956,-71.227,Private room,65,1,76,2020-10-12,1.86,5,81
21239249,Location de vacance 3,44697594,Raoufou,,Vieux-Moulin,46.84832,-71.2262,Private room,65,1,124,2021-02-07,3.05,5,82
21266904,Location de vacance 4,44697594,Raoufou,,Vieux-Moulin,46.84932,-71.22664,Private room,55,1,51,2020-10-31,1.26,5,80
21365898,Idéale pour famille!,88802219,Remy & Eloise,,Plateau,46.77492,-71.33118,Entire home/apt,175,3,19,2019-10-13,0.50,1,0
21410127,Les Immeubles Charlevoix - 760416 - CITQ 279646,34462857,Les Immeubles Charlevoix Courtier,,Saint-Jean-Baptiste,46.81234,-71.21615,Entire home/apt,290,30,11,2019-09-11,0.36,63,224
21444631,Charming loft,40601106,Maxime,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81147,-71.21066,Entire home/apt,30,32,8,2020-02-11,0.21,4,365
21559426,Vivez au centre de la Ville de Québec,156758317,Eric Et Nathalie,,Saint-Jean-Baptiste,46.80325,-71.22218,Entire home/apt,45,30,0,,,6,0
21560918,Charmant Loft dans le Vieux-Québec,34097542,Judith,,Saint-Jean-Baptiste,46.8098,-71.22509,Entire home/apt,65,2,84,2019-10-26,2.17,1,0
21566661,Beautifuil house with access to St-Charles lake,156824974,Caroline,,Lac-Saint-Charles,46.91659,-71.38313,Entire home/apt,160,2,32,2019-12-31,0.85,1,142
21580272,Chambre confortable no 4,144604389,Pauline,,Saint-Louis,46.76511,-71.28617,Private room,45,1,57,2020-12-16,1.55,7,270
21635449,Loft urbain ensoleillé / Sunny urban loft,23638879,Marie-France,,Quartier 5-2,46.87454,-71.19969,Entire home/apt,50,2,98,2020-04-10,2.49,1,0
21672798,Beau loft entièrement rénové et propre,40268757,Luce,,Saint-Roch,46.81278,-71.22467,Entire home/apt,69,2,97,2021-01-03,2.48,1,145
21673991,Condo 308 renové et bien  décoré.,157768363,Orlando,,Saint-Roch,46.81383,-71.22535,Entire home/apt,67,2,82,2020-11-29,2.23,1,0
21677519,"Suite 100 - all inclusive, in  Old-Qc (Parking $)",49947368,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81194,-71.21204,Entire home/apt,139,30,10,2020-10-18,0.31,27,123
21677555,Fully furnished - 1 BR Studio Old-Qc,49947368,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81194,-71.21204,Entire home/apt,125,30,3,2020-10-01,0.22,27,221
